Month,SilverPrice,GoldPrice
8/14/19,1201.83,78867.16
9/14/19,1118.37,75285.57
10/14/19,1052.92,74997.34
11/14/19,984.74,72491.16
12/14/19,1021.88,75291.99
1/15/19,1070.97,77715.8
2/15/19,1041.26,76113.23
3/15/19,1014.19,73605.25
4/15/19,1025.45,75236.65
5/15/19,1074.12,76484.8
6/15/19,1026.56,75451.46
7/15/19,958.06,71812.23
8/15/19,972.25,72746.31
9/15/19,976.67,74476.64
10/15/19,1029.04,75438.75
11/15/19,954.56,71759.82
12/15/19,938,71140.66
1/16/19,949.24,73882.06
2/16/19,1035.04,81857.57
3/16/19,1037.05,83496.73
4/16/19,1087.44,82572.44
5/16/19,1133.52,84340.04
6/16/19,1163.03,85878.28
7/16/19,1343.8,89845.32
8/16/19,1311.11,89707.71
9/16/19,1291.92,88540.4
10/16/19,1178,84533.34
11/16/19,1175.45,83622.54
12/16/19,1115.72,78583.48
1/17/19,1151.15,81191.05
2/17/19,1203.35,82818.17
3/17/19,1162.15,81169.45
